Date,SPY,QQQ,VIX,TLT,GLD
2015-01-05,-0.018059501614045903,-0.01466863228287163,0.11973013216134865,0.015708505333515976,0.015077149308345472
2015-01-06,-0.009419015049379031,-0.013408490633547876,0.06024100192487092,0.018017012528034115,0.011398960794795743
2015-01-07,0.012460948021275842,0.01289130519383197,-0.08570081919356187,-0.0019748255617807464,-0.005891414149803653
2015-01-08,0.017745208596957163,0.01913936849484843,-0.11910923359252923,-0.013242944309763027,-0.00420851895976293
2015-01-09,-0.00801364138303795,-0.006582722061090562,0.03174597301073678,0.010952882633010974,0.011385196369055883
2015-01-12,-0.007833458980562424,-0.010426756185968777,0.11680918709558497,0.0057217872330102,0.011086435260788896
2015-01-13,-0.0028126734053841584,-0.0002956144378319925,0.04897954417287975,0.0,-0.003373767752371082
2015-01-14,-0.006036928386036644,-0.005515741410159092,0.04474708658518822,0.007585698404461105,-0.0016080097792615655
2015-01-15,-0.009161027577658687,-0.012975449554216922,0.04236498448814063,0.015736471564174792,0.025175902263040006
2015-01-16,0.013114293017557621,0.01174054849592876,-0.06431436650126654,-0.012750095180517729,0.013064281211881523
2015-01-20,0.0021326731410205024,0.007935256251313305,-0.050596722419512186,0.013289701477427585,0.013712049879254229
2015-01-21,0.005048141543469331,0.005117301248169781,-0.05228753343853643,-0.011559264486106002,0.00024159749942587183
2015-01-22,0.014871020739677832,0.01850387891266969,-0.1299735126450129,-0.0035980938948416696,0.008049585228834255
2015-01-23,-0.005482994011001718,0.002210967862950053,0.01585367286155681,0.013918502729073357,-0.007985306821000182
2015-01-26,0.0023420702664227466,-0.0011511660195182571,-0.06842733493935294,-0.003042506456593097,-0.00998152990144674
2015-01-27,-0.013190737552016052,-0.025926591026756096,0.10953600550574838,0.0015630865080247247,0.011464376669647391
2015-01-28,-0.012824495302235173,-0.005126218363114332,0.1869919482636646,0.016347973817157024,-0.00787784039319106
2015-01-29,0.009243518305581677,0.009611573922221117,-0.08219179360472739,-0.006580374657046528,-0.021552390797103027
2015-01-30,-0.01257446788908223,-0.0077530348799556,0.11780378771372657,0.017737962252841966,0.022275544587827323
2015-02-02,0.012383828854620527,0.008703830767369691,-0.07343820021958614,-0.0037755106231033286,-0.008343449208254805
2015-02-03,0.014461145156765998,0.009609737754925352,-0.10808030614957465,-0.021166418611183624,-0.011190942147351168
