Date,SPY,QQQ,VIX,TLT,GLD
2015-01-02,170.12498474121094,94.78443145751953,17.790000915527344,94.0865249633789,114.08000183105469
2015-01-05,167.0526123046875,93.39407348632812,19.920000076293945,95.56448364257812,115.80000305175781
2015-01-06,165.47914123535156,92.14179992675781,21.1200008392334,97.28627014160156,117.12000274658203
2015-01-07,167.54116821289062,93.32962799072266,19.309999465942383,97.09414672851562,116.43000030517578
2015-01-08,170.51422119140625,95.11589813232422,17.010000228881836,95.80833435058594,115.94000244140625
2015-01-09,169.1477813720703,94.48977661132812,17.549999237060547,96.85771179199219,117.26000213623047
2015-01-12,167.82276916503906,93.50455474853516,19.600000381469727,97.41191101074219,118.55999755859375
2015-01-13,167.35073852539062,93.47691345214844,20.559999465942383,97.41191101074219,118.16000366210938
2015-01-14,166.3404541015625,92.96131896972656,21.479999542236328,98.15084838867188,117.97000122070312
2015-01-15,164.8166046142578,91.7551040649414,22.389999389648438,99.69539642333984,120.94000244140625
2015-01-16,166.97805786132812,92.83235931396484,20.950000762939453,98.42427062988281,122.5199966430664
2015-01-20,167.33416748046875,93.56900787353516,19.889999389648438,99.7322998046875,124.19999694824219
2015-01-21,168.17889404296875,94.0478286743164,18.850000381469727,98.5794677734375,124.2300033569336
2015-01-22,170.6798858642578,95.78807830810547,16.399999618530273,98.22476959228516,125.2300033569336
2015-01-23,169.74404907226562,95.99986267089844,16.65999984741211,99.59191131591797,124.2300033569336
2015-01-26,170.1416015625,95.88935089111328,15.520000457763672,99.28890228271484,122.98999786376953
2015-01-27,167.89730834960938,93.40326690673828,17.219999313354492,99.44409942626953,124.4000015258789
2015-01-28,165.74411010742188,92.9244613647461,20.440000534057617,101.06980895996094,123.41999816894531
2015-01-29,167.2761688232422,93.81761169433594,18.760000228881836,100.40473175048828,120.76000213623047
2015-01-30,165.17276000976562,93.09024047851562,20.969999313354492,102.18570709228516,123.44999694824219
2015-02-02,167.21823120117188,93.90048217773438,19.43000030517578,101.7999038696289,122.41999816894531
2015-02-03,169.6363983154297,94.80284118652344,17.329999923706055,99.6451644897461,121.05000305175781
2015-02-04,168.99041748046875,94.7199935913086,18.329999923706055,99.81541442871094,121.58000183105469
2015-02-05,170.6964111328125,95.53946685791016,16.850000381469727,98.71955108642578,121.79000091552734
2015-02-06,170.22442626953125,94.9593734741211,17.290000915527344,96.97205352783203,118.63999938964844
2015-02-09,169.46249389648438,94.65552520751953,18.549999237060547,96.8165512084961,119.16999816894531
