date,regime,confidence,gated_regime,wf_regime,alloc_SP500,alloc_Bonds,alloc_Gold,alloc_Cash,strategy_ret,spy_ret
2020-03-16,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.001423,-0.109424
2020-03-17,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.003871,0.053992
2020-03-18,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.022322,-0.050633
2020-03-19,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-1.4e-05,0.002125
2020-03-20,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.015228,-0.043094
2020-03-23,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.018939,-0.025568
2020-03-24,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.019896,0.090603
2020-03-25,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.003064,0.01497
2020-03-26,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.01067,0.05839
2020-03-27,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000422,-0.029786
2020-03-30,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002922,0.032476
2020-03-31,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.012668,-0.014905
2020-04-01,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001139,-0.045005
2020-04-02,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.008495,0.023075
2020-04-03,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000512,-0.014454
2020-04-06,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.014507,0.067166
2020-04-07,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.003599,0.001019
2020-04-08,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.000771,0.033569
2020-04-09,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.009722,0.015217
2020-04-13,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002403,-0.00913
2020-04-14,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.005261,0.029493
2020-04-15,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001643,-0.021248
2020-04-16,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002494,0.004824
2020-04-17,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.005805,0.027016
2020-04-20,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001985,-0.017618
2020-04-21,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.002566,-0.030363
2020-04-22,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.006077,0.022195
2020-04-23,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.004041,-7.2e-05
2020-04-24,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000578,0.013939
2020-04-27,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.004273,0.014418
2020-04-28,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000505,-0.004599
2020-04-29,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.00324,0.026179
2020-04-30,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.008701,-0.00931
2020-05-01,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000917,-0.026474
2020-05-04,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000386,0.002758
2020-05-05,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000916,0.009239
2020-05-06,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.007762,-0.006779
2020-05-07,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.009153,0.012067
2020-05-08,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.002749,0.016546
2020-05-11,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.003411,0.000205
2020-05-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001226,-0.019931
2020-05-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002517,-0.017686
2020-05-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005809,0.011968
2020-05-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001638,0.004597
2020-05-18,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.003614,0.03046
2020-05-19,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002616,-0.010271
2020-05-20,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.00301,0.016988
2020-05-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.004564,-0.006904
2020-05-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003168,0.001899
2020-05-26,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.005714,0.01232
2020-05-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001661,0.014879
2020-05-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,8.4e-05,-0.001845
2020-05-29,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004082,0.004456
2020-06-01,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000439,0.004042
2020-06-02,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001842,0.00828
2020-06-03,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006864,0.013308
2020-06-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-1e-06,-0.002626
2020-06-05,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.004944,0.025629
2020-06-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005224,0.012088
2020-06-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004419,-0.007456
2020-06-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.006705,-0.00558
2020-06-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.004149,-0.057649
2020-06-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000306,0.011976
2020-06-15,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000509,0.009336
2020-06-16,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.00129,0.019248
2020-06-17,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.000983,-0.004154
2020-06-18,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001565,0.000385
2020-06-19,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002899,-0.005715
2020-06-22,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002605,0.006416
2020-06-23,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001619,0.004604
2020-06-24,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.001451,-0.025509
2020-06-25,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001468,0.010721
2020-06-26,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001105,-0.023751
2020-06-29,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001003,0.014697
2020-06-30,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.001642,0.012809
2020-07-01,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.001032,0.007005
2020-07-02,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001407,0.005507
2020-07-06,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002521,0.015437
2020-07-07,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003673,-0.010314
2020-07-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001829,0.007649
2020-07-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001804,-0.005693
2020-07-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000762,0.01021
2020-07-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000168,-0.008659
2020-07-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002983,0.012959
2020-07-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00025,0.009187
2020-07-16,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002215,-0.003294
2020-07-17,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002342,0.002899
2020-07-20,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002746,0.008082
2020-07-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003948,0.002127
2020-07-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005728,0.005692
2020-07-23,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003791,-0.011931
2020-07-24,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001918,-0.006441
2020-07-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005913,0.007293
2020-07-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003252,-0.006343
2020-07-29,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003142,0.012298
2020-07-30,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001259,-0.003568
2020-07-31,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003388,0.007902
2020-08-03,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,2.8e-05,0.006952
2020-08-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.008676,0.003862
2020-08-05,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001658,0.006211
2020-08-06,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005768,0.006685
2020-08-07,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006027,0.000718
2020-08-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001634,0.002989
2020-08-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.019311,-0.008254
2020-08-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001825,0.013942
